"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"198";"02/12/2023";"21";"9";"Estella-Lizarra";"Estella";"C/ Mayor, 20";"Fernandez Alvarez, Soliña";"F00060";"948 546920"
"199";"02/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"200";"02/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"201";"02/12/2023";"21";"10";"Sarriguren";"Pamplona y comarca";"Avda Erripagaña, 24. Ripagaina. Rotonda LIDL y ALDI";"Rubio Echarte, Santiago";"F00731";"948787058"
"202";"02/12/2023";"21";"10";"Tudela";"Tudela Este - Tudela Oeste";"C/ Griseras, 11";"Riau Ibarz, Rosa";"F00535";"948 820478"
"203";"02/12/2023";"9";"9";"Altsasu / Alsasua";"Altsasu/Alsasua";"C/ Alzania, 1";"Luis de Redin Subira, Maria Rosa";"F00159";"948 562380"
"204";"02/12/2023";"9";"9";"Ancín / Antzin";"Comarca de Estella";"Cra. Vitoria, 20";"Alen Fernandez, Ruben";"F00246";"948 534102"
"205";"02/12/2023";"9";"9";"Aoiz / Agoitz";"Aoiz - Auritz/Burguete";"C/ Domingo Elizondo, 4";"Lera Toston, Maria Yolanda";"F00096";"948 336525"
"206";"02/12/2023";"9";"9";"Bera";"Lesaka";"Pl de los Fueros, 4";"Fernandez Diez, Arantzazu";"F00353";"948 630631"
"207";"02/12/2023";"9";"9";"Carcastillo";"Carcastillo - Olite";"C/ Mayor, 17";"Arbeloa Zabaleta, Maria Angeles";"F00473";"948 715039"
"208";"02/12/2023";"9";"9";"Cascante";"Buñuel - Cascante";"C/ Victoria, 25";"Galipienzo Jimenez, Marta";"F00369";"948 850742"
"209";"02/12/2023";"9";"9";"Cintruénigo";"Corella - Cintruénigo";"C/ Jose María Ligués, 44";"Lozano Sanchez, Maria Jose";"F00301";"948 815051"
"210";"02/12/2023";"9";"9";"Falces";"Peralta";"C/ Corazón de Jesús, 5";"Diaz/Eza Casas/Gascuñana, Mercedes/Victoria";"F00458";"948 734840"
"211";"02/12/2023";"9";"9";"Irurita";"Elizondo";"C/ Mayor, 4B";"Goñi Itoiz, Concepcion";"F00279";"948 452347"
"212";"02/12/2023";"9";"9";"Irurtzun";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ Amaya, 4";"Gastearena/Martirena Arraiza/Miqueo, Miguel/Jorge";"F00387";"948 506149"
"213";"02/12/2023";"9";"9";"Ituren";"Doneztebe/Santesteban";"C/ Consejo, 12";"Ruiz-Lopetedi Rodriguez, Jose Joaquin";"F00272";"948 450968"
"214";"02/12/2023";"9";"9";"Lodosa";"Lodosa";"C/ Los Huertos de Abajo, 3";"Yoldi Perez, Jesusa";"F00438";"948 694635"
"215";"02/12/2023";"9";"9";"Mendigorria";"Puente la Reina";"C/ Bernardino Ayala, 8";"Inchaurraga Casadamon, Laura";"F00248";"948 340312"
