"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"103";"UR000963";"Benta Xabi";"Restaurantes";"Sin definir";"Barrio Bentas 0";"LUZAIDE/VALCARLOS";"LUZAIDE / VALCARLOS";"Pirineos";"Casera o regional";"09/12/2008 0:00:00"
"104";"UR000601";"Beola Etxea";"Restaurantes";"Tercera/1 tenedor";"Ibardin 0";"BERA";"BERA";"Pirineos";"Casera o regional";"17/04/1990 0:00:00"
"105";"UR001052";"Beratxa";"Restaurantes";"Segunda/2 Tenedores";"Escuelas Pías 11";"TAFALLA";"TAFALLA";"Zona Media";"Asador, Casera o regional";"22/04/2014 0:00:00"
"106";"UR000529";"Bereau";"Restaurantes";"Sin definir";"Frain 32";"LESAKA";"LESAKA";"Pirineos";"Casera o regional";"07/03/1990 0:00:00"
"107";"ur000658";"Berekoetxea Jatetxea";"Restaurantes";"Sin definir";"San Bartolomé 24";"GORRITI";"LARRAUN";"Pirineos";"Casera o regional";"27/03/1994 0:00:00"
"108";"ur000779";"Berrendi";"Restaurantes";"Sin definir";"San Salvador 52";"HIRIBERRI/VILLANUEVA DE AEZKOA";"HIRIBERRI / VILLANUEVA DE AEZKOA";"Pirineos";"Casera o regional";"05/12/1996 0:00:00"
"109";"UR000343";"Betelu";"Restaurantes";"Segunda/2 Tenedores";"Mayor 0 S/N";"BETELU";"BETELU";"Pirineos";"Casera o regional";"05/05/1982 0:00:00"
"110";"ur000261";"Beti Jai";"Restaurantes";"Sin definir";"Santa Agueda 4";"AOIZ";"AOIZ / AGOITZ";"Pirineos";;"03/06/1982 0:00:00"
"111";"UR000292";"Biltoki";"Restaurantes";"Sin definir";"García Ximénez 14";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"15/02/2005 0:00:00"
"112";"ur000122";"Bocaccio";"Restaurantes";"Sin definir";"Caballeros Templarios, 12 bajo 0 ";"RIBAFORADA";"RIBAFORADA";"La Ribera";;"12/02/2004 0:00:00"
"113";"UR001031";"Bodegas Forka";"Restaurantes";"Tercera/1 tenedor";"Lardín 4";"LUMBIER";"LUMBIER";"Pirineos";"Asador";"30/10/2012 0:00:00"
"114";"ur000615";"Bodegas Leire";"Restaurantes";"Sin definir";"Manuel de Falla 23";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"14/08/1990 0:00:00"
"115";"UR000549";"Bodegas San Martin";"Restaurantes";"Sin definir";"Villa de Lanz 8";"BURLADA";"BURLADA / BURLATA";"Cuenca de Pamplona";"Casera o regional";"21/01/1990 0:00:00"
"116";"ur000330";"Bornax";"Restaurantes";"Sin definir";"Polígono Industrial Valtierra- 0";"VALTIERRA";"VALTIERRA";"La Ribera";"Casera o regional";"11/03/2005 0:00:00"
