"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"198";"UR000842";"El Fogón de Noain";"Restaurantes";"Sin definir";"N-240, km. 7 5 ";"NOÁIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"27/03/2000 0:00:00"
"199";"UR000443";"El Fruto";"Restaurantes";"Sin definir";"Mayor 0 S/N";"MURILLO EL FRUTO";"MURILLO EL FRUTO";"La Ribera";"Casera o regional";"18/03/1986 0:00:00"
"200";"UR000063";"El Lechuguero";"Restaurantes";"Primera/3 tenedores";"Romero 8";"CASCANTE";"CASCANTE";"La Ribera";;"20/06/2001 0:00:00"
"201";"UR000130";"El Maño";"Restaurantes";"Sin definir";"Pamplona-Zaragoza, Km.30 0 ";"PUEYO";"PUEYO / PUIU";"Zona Media";"Casera o regional";"18/06/1971 0:00:00"
"202";"UR000991";"El Mercao";"Restaurantes";"Primera/3 tenedores";"Tafalla 7";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Innovadora, Oriental";"29/04/2010 0:00:00"
"203";"UR001112";"El Mesón";"Restaurantes";"Segunda/2 Tenedores";"De la Abadía 14";"JAVIER";"JAVIER";"Zona Media";;"21/12/2015 0:00:00"
"204";"UR001133";"El Mesón de la Tortilla";"Restaurantes";"Tercera/1 tenedor";"Navarrería 12 Bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones, Vegetariana";"25/02/2021 0:00:00"
"205";"UR001117";"El Mirador";"Restaurantes";"Tercera/1 tenedor";"Pamplona-Zaragoza 0 Km. 24";"BARÁSOAIN";"BARÁSOAIN";"Zona Media";;"22/07/2016 0:00:00"
"206";"UR001107";"El Mirador de Olite";"Restaurantes";"Segunda/2 Tenedores";"NA-115, km 2'3 0 ";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Asador, Casera o regional";"09/11/2015 0:00:00"
"207";"UR000160";"El Mosquito";"Restaurantes";"Segunda/2 Tenedores";"Virgen de Ujué 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Marisquería";"13/05/1973 0:00:00"
"208";"UR000053";"El Olivo";"Restaurantes";"Segunda/2 Tenedores";"Valtierra-San Adrián 0 S/N";"MILAGRO";"MILAGRO";"La Ribera";;"25/04/2001 0:00:00"
"209";"UR000973";"El Padrino";"Restaurantes";"Sin definir";"Pamplona 20";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"27/04/2009 0:00:00"
"210";"UR000268";"El Pañuelico";"Restaurantes";"Tercera/1 tenedor";"Pol. Ind. Cordovilla, Km 3 0 ";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Casera o regional";"31/01/2005 0:00:00"
"211";"ur000862";"El Paseo";"Restaurantes";"Sin definir";"Guitarrista Sabicas 4";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"30/08/2000 0:00:00"
"212";"UR000472";"El Poste";"Restaurantes";"Sin definir";"Estella 0 S/N";"LARRAGA";"LARRAGA";"Zona Media";"Casera o regional";"23/08/1989 0:00:00"
"213";"UR000753";"El Pozo de Beriáin";"Restaurantes";"Segunda/2 Tenedores";"Beriain Arlegui km 2 0";"SALINAS DE PAMPLONA";"GALAR";"Cuenca de Pamplona";"Asador, Asador";"24/02/1996 0:00:00"
"214";"ur000692";"El Prado";"Restaurantes";"Tercera/1 tenedor";"Bordalea 16 bajo";"ORKOIEN";"ORKOIEN";"Cuenca de Pamplona";"Casera o regional";"21/03/1994 0:00:00"
"215";"UR000670";"El Redin";"Restaurantes";"Sin definir";"Mercado 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"03/07/2002 0:00:00"
"216";"ur000789";"El Retaco";"Restaurantes";"Sin definir";"Esquíroz 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"05/02/1997 0:00:00"
"217";"UR000131";"El Rincón";"Restaurantes";"Sin definir";"Joaquín Beunza 12";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"04/06/2004 0:00:00"
"218";"UR001099";"El Rincón de la Joyosa";"Restaurantes";"Segunda/2 Tenedores";"Rúa de Medios 23";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Casera o regional, De tapas y raciones";"28/07/2015 0:00:00"
"219";"UR141053";"El Rincón de Peri";"Restaurantes";"Segunda/2 Tenedores";"Las Planas 51";"CABANILLAS";"CABANILLAS";"La Ribera";"Casera o regional";"22/04/2014 0:00:00"
"220";"UR000242";"El Tremendo";"Restaurantes";"Sin definir";"San Emetrio 0 S/N";"CIZUR MENOR";"CIZUR";"Cuenca de Pamplona";;"26/02/1983 0:00:00"
"221";"UR000913";"El Triguillo";"Restaurantes";"Sin definir";"Arguedas-Valtierra, parc. 41 ";"ARGUEDAS";"ARGUEDAS";"La Ribera";"Casera o regional";"26/01/2007 0:00:00"
"222";"UR000136";"El Txoko del Sadar";"Restaurantes";"Sin definir";"Sadar 0 S/N";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador";"04/06/2004 0:00:00"
"223";"UR000137";"El Volante";"Restaurantes";"Sin definir";"Merkatondoa 2";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"04/06/2004 0:00:00"
"224";"UR001141";"Elutsa Ostatua";"Restaurantes";"Segunda/2 Tenedores";"Andutzeta 13";"ETXALAR";"ETXALAR";"Pirineos";"Casera o regional, De tapas y raciones";"14/12/2021 0:00:00"
"225";"UR000400";"Enekorri";"Restaurantes";"Lujo/ 4 Tenedores";"Tudela 14";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor, Innovadora";"07/11/1984 0:00:00"
"226";"UR000171";"Erdialde";"Restaurantes";"Tercera/1 tenedor";"Garde-Ansó, Km. 4 0 ";"GARDE";"GARDE";"Pirineos";;"16/10/1981 0:00:00"
"227";"UR000793";"Errota";"Restaurantes";"Sin definir";"Iriartea 37";"RONCAL";"RONCAL / ERRONKARI";"Pirineos";"Casera o regional";"10/08/2005 0:00:00"
"228";"UR000685";"Eskisaroi";"Restaurantes";"Tercera/1 tenedor";"Jaime Urrutia 40";"ELIZONDO";"BAZTAN";"Pirineos";"Casera o regional";"16/12/1993 0:00:00"
"229";"UR000937";"Estación de Servicio Urbasa";"Restaurantes";"Sin definir";"Nacional, 1, km. 396 0 ";"OLAZTI/OLAZAGUTIA";"OLAZTI / OLAZAGUTÍA";"Pirineos";"Casera o regional";"18/02/2008 0:00:00"
"230";"UR000950";"Etayo";"Restaurantes";"Segunda/2 Tenedores";"Vitoria 37";"MURIETA";"MURIETA";"Zona Media";"Casera o regional";"16/06/2008 0:00:00"
"231";"UR001001";"Etxeberri";"Restaurantes";"Tercera/1 tenedor";"Nagusia 11";"GOLDARATZ";"IMOTZ";"Pirineos";"Casera o regional";"24/03/2011 0:00:00"
"232";"UR000460";"Etxebertzekoborda";"Restaurantes";"Sin definir";"Etxebertzeko Borda 0";"LEKAROZ";"BAZTAN";"Pirineos";"Casera o regional";"19/02/1990 0:00:00"
"233";"UR000608";"Europa";"Restaurantes";"Tercera/1 tenedor";"Dos de Agosto 20";"MILAGRO";"MILAGRO";"La Ribera";"Casera o regional";"20/02/1991 0:00:00"
"234";"UR001071";"Europa";"Restaurantes";"Lujo/ 4 Tenedores";"Espoz y Mina 11";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Innovadora";"02/12/2014 0:00:00"
"235";"UR000133";"Euskalduna";"Restaurantes";"Sin definir";"Eztegara paslekua 2";"BERA";"BERA";"Pirineos";;"02/12/1972 0:00:00"
"236";"ur000473";"Euskalduna";"Restaurantes";"Sin definir";"San Juan 6";"LEKUNBERRI";"LEKUNBERRI";"Pirineos";"Casera o regional";"20/12/1989 0:00:00"
"237";"UR000342";"Ezcabarte";"Restaurantes";"Segunda/2 Tenedores";"Irún, Km. 7 0 ";"ORICÁIN";"EZCABARTE";"Cuenca de Pamplona";"Asador, Casera o regional, De tapas y raciones, Marisquería, Rápida, Vegetariana";"28/11/2002 0:00:00"
"238";"UR131045";"Florida";"Restaurantes";"Sin definir";"De los Fueros 15 bajo";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, De tapas y raciones";"01/08/2013 0:00:00"
"239";"ur000329";"Fosters Hollywood";"Restaurantes";"Sin definir";"Centro Comercial La Morea, loc 0 ";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Internacional, Rápida";"10/03/2005 0:00:00"
"240";"UR001022";"Fosters Hollywood";"Restaurantes";"Tercera/1 tenedor";"Paulino Caballero 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional, Rápida";"26/01/2012 0:00:00"
"241";"ur000486";"Galar";"Restaurantes";"Tercera/1 tenedor";"Joaquín Maya 15";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"30/03/1988 0:00:00"
"242";"ur000077";"Galarza III";"Restaurantes";"Sin definir";"San Miguel 0 S/N";"BARAIBAR";"LARRAUN";"Pirineos";;"01/08/2001 0:00:00"
"243";"ur000767";"Galeria";"Restaurantes";"Sin definir";"Polígono Agustinos. Centro Com 0";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"18/09/1996 0:00:00"
"244";"UR000797";"Galo";"Restaurantes";"Segunda/2 Tenedores";"Mayor 40";"LERÍN";"LERÍN";"La Ribera";"Casera o regional";"09/03/1996 0:00:00"
"245";"UR000698";"Galtzabarra";"Restaurantes";"Segunda/2 Tenedores";"Tejería 0 S/N";"EZCÁROZ";"EZCÁROZ / EZKAROZE";"Pirineos";"Casera o regional";"21/03/1994 0:00:00"
"246";"UR000066";"Gambarte";"Restaurantes";"Sin definir";"Rúa del Seco 15";"OLITE";"OLITE / ERRIBERRI";"Zona Media";;"25/08/1967 0:00:00"
"247";"ur000072";"García";"Restaurantes";"Sin definir";"Mayor 93";"MURCHANTE";"MURCHANTE";"La Ribera";"Casera o regional";"18/07/2001 0:00:00"
"248";"UR001077";"Gares";"Restaurantes";"Segunda/2 Tenedores";"Los Fueros 38";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";"Casera o regional";"02/02/2015 0:00:00"
"249";"UR000187";"Garmendi";"Restaurantes";"Sin definir";"La Cruz 8";"FALCES";"FALCES";"La Ribera";;"10/08/2004 0:00:00"
"250";"ur000462";"Garralda";"Restaurantes";"Sin definir";"Martín Azpilicueta 14";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/02/1989 0:00:00"
"251";"ur000436";"Garrick";"Restaurantes";"Sin definir";"Iturrama 20";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"05/11/1985 0:00:00"
"252";"UR000985";"Gazolaz";"Restaurantes";"Sin definir";"Infanzones 31";"OBANOS";"OBANOS";"Zona Media";"Casera o regional";"08/02/2010 0:00:00"
"253";"ur000470";"Goñi";"Restaurantes";"Sin definir";"Madrid 10";"BERIÁIN";"BERIÁIN";"Cuenca de Pamplona";"Casera o regional";"08/02/1989 0:00:00"
"254";"UR000889";"Gran Siglo";"Restaurantes";"Sin definir";"Fernández Pórtoles, 8-10 0 ";"TUDELA";"TUDELA";"La Ribera";"Internacional, Oriental";"06/03/2006 0:00:00"
"255";"UR001147";"Granja Escuela Gure Sustraiak";"Restaurantes";"Segunda/2 Tenedores";"Viejo de Arriste 1";"OLLO";"VALLE DE OLLO / OLLARAN";"Cuenca de Pamplona";"Casera o regional";"24/11/2022 0:00:00"
"256";"UR001073";"Graxiana";"Restaurantes";"Tercera/1 tenedor";"Lapiztegia 0";"ZUGARRAMURDI";"ZUGARRAMURDI";"Pirineos";"Casera o regional";"02/12/2014 0:00:00"
"257";"ur000281";"Haizea";"Restaurantes";"Sin definir";"Polígono Industrial Noain-Esqu 0";"NOÁIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"08/02/2005 0:00:00"
"258";"UR000951";"Haizea";"Restaurantes";"Sin definir";"Burguete 2";"AURIZBERRI/ESPINAL";"ERRO";"Pirineos";"Casera o regional";"16/06/2008 0:00:00"
"259";"UR001062";"Halconeras de Sancho IV";"Restaurantes";"Segunda/2 Tenedores";"La Sardilla C/A 22";"FUNES";"FUNES";"La Ribera";"Casera o regional";"07/11/2014 0:00:00"
"260";"UR000978";"Haran";"Restaurantes";"Sin definir";"Bardenas Reales 5";"SARRIGUREN";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Casera o regional";"24/07/2009 0:00:00"
"261";"ur000161";"Hemingway";"Restaurantes";"Sin definir";"Luis Morondo 15";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"25/06/2004 0:00:00"
"262";"UR000435";"Herriko Ostatua";"Restaurantes";"Sin definir";"Consejo 38";"ITUREN";"ITUREN";"Pirineos";"Casera o regional";"21/11/1985 0:00:00"
"263";"UR000741";"Herriko Ostatua Etxaleku";"Restaurantes";"Tercera/1 tenedor";"San Esteban 0 S/N";"ETXALEKU";"IMOTZ";"Pirineos";"Casera o regional";"28/12/1995 0:00:00"
"264";"UR000444";"Herriko Taberna";"Restaurantes";"Sin definir";"El Carmen 34";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"18/03/1986 0:00:00"
"265";"ur000809";"Hilarion";"Restaurantes";"Sin definir";"San Pedro 27";"ELGORRIAGA";"ELGORRIAGA";"Pirineos";"Casera o regional";"11/11/1998 0:00:00"
"266";"UR001095";"Hola Tafalla";"Restaurantes";"Tercera/1 tenedor";"Javier Osés 4";"TAFALLA";"TAFALLA";"Zona Media";"Casera o regional";"24/07/2015 0:00:00"
"267";"UR001089";"Hospedería de Leyre";"Restaurantes";"Segunda/2 Tenedores";"Monasterio San Salvador de Ley 0";"YESA";"YESA";"Zona Media";;"01/07/2015 0:00:00"
"268";"UR000941";"Hostería del Temple";"Restaurantes";"Tercera/1 tenedor";"Curia 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"27/03/2008 0:00:00"
"269";"UR000660";"Ibarberoa";"Restaurantes";"Segunda/2 Tenedores";"San Salvador 0 S/N";"OBANOS";"OBANOS";"Zona Media";"Casera o regional";"18/05/1993 0:00:00"
"270";"ur000453";"Ibarburu";"Restaurantes";"Sin definir";"Caserío Ibarburu. Ctra. N-121- 0";"DONEZTEBE/SANTESTEBAN";"DONEZTEBE / SANTESTEBAN";"Pirineos";"Casera o regional";"05/01/1989 0:00:00"
"271";"UR000846";"Ibarrea";"Restaurantes";"Tercera/1 tenedor";"Polígono Ibarrea 0";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"27/07/2000 0:00:00"
"272";"UR000100";"Ibiricu";"Restaurantes";"Tercera/1 tenedor";"Polígono Industrial Mutilva Ba 7";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";;"11/06/2003 0:00:00"
"273";"UR000723";"Ikaburua";"Restaurantes";"Tercera/1 tenedor";"Leorlas 0";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional";"13/03/1994 0:00:00"
"274";"UR111011";"Imárcoain";"Restaurantes";"Sin definir";"Área Imárcoain Norte Km78 0";"IMÁRCOAIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"29/07/2011 0:00:00"
"275";"UR000260";"Imperio";"Restaurantes";"Tercera/1 tenedor";"de Oriente 2";"CÁSEDA";"CÁSEDA";"Zona Media";"Casera o regional";"30/12/1982 0:00:00"
"276";"UR001144";"Irati-Abodi";"Restaurantes";"Tercera/1 tenedor";"Selva de Irati 0";"IRATI";"OCHAGAVÍA / OTSAGABIA";"Pirineos";"Casera o regional";"19/04/2022 0:00:00"
"277";"UR000127";"Iratiko Eskola Taberna";"Restaurantes";"Tercera/1 tenedor";"Pablo Eguinoa 8";"ORBARA";"ORBARA";"Pirineos";"Casera o regional";"27/05/2004 0:00:00"
"278";"UR000890";"Iratzar Jatetxea";"Restaurantes";"Segunda/2 Tenedores";"Pamplona-Vitoria s/n 0";"ETXARREN";"ARAKIL";"Pirineos";"Asador";"10/03/2006 0:00:00"
"279";"ur000413";"Iraxoa";"Restaurantes";"Sin definir";"Estella 1";"ALLO";"ALLO";"Zona Media";"Casera o regional";"13/03/1985 0:00:00"
"280";"ur000686";"Iribia";"Restaurantes";"Sin definir";"Vitoria 0 S/N";"ANCÍN";"ANCÍN / ANTZIN";"Zona Media";"Casera o regional";"29/10/1994 0:00:00"
"281";"UR001096";"Iru Bide";"Restaurantes";"Tercera/1 tenedor";"Vitoria 3";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";;"24/07/2015 0:00:00"
"282";"UR000214";"Iru-Bide";"Restaurantes";"Sin definir";"Biurrana 3";"LESAKA";"LESAKA";"Pirineos";"Asador";"22/07/1981 0:00:00"
"283";"UR001086";"Iru-Bide";"Restaurantes";"Segunda/2 Tenedores";"Bijues 0";"LUMBIER";"LUMBIER";"Pirineos";"Casera o regional, Innovadora";"28/05/2015 0:00:00"
"284";"UR000080";"Iruña";"Restaurantes";"Segunda/2 Tenedores";"Muro 11";"TUDELA";"TUDELA";"La Ribera";"Casera o regional";"25/02/1968 0:00:00"
"285";"ur000581";"Iruña";"Restaurantes";"Sin definir";"Parlamento Navarro 3";"RIBAFORADA";"RIBAFORADA";"La Ribera";"Casera o regional";"11/06/1990 0:00:00"
"286";"UR000110";"Iruñazarra";"Restaurantes";"Segunda/2 Tenedores";"Mercaderes 15";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador, Casera o regional, De tapas y raciones, Sidrería";"13/12/1969 0:00:00"
"287";"UR000051";"Iturri Eder";"Restaurantes";"Sin definir";"Larrañeta 7 0";"ETXARRI-ARANATZ";"ETXARRI ARANATZ";"Pirineos";"Casera o regional";"01/01/1969 0:00:00"
"288";"UR001074";"Itxasoenea";"Restaurantes";"Tercera/1 tenedor";"Las Eras 3";"AOIZ";"AOIZ / AGOITZ";"Pirineos";"Casera o regional";"02/02/2015 0:00:00"
"289";"UR000980";"Itxesi";"Restaurantes";"Sin definir";"Itxesi Pol.1, Par.850 0 ";"UHARTE-ARAKIL";"UHARTE ARAKIL";"Pirineos";"Casera o regional";"04/09/2009 0:00:00"
"290";"ur000042";"Izarra";"Restaurantes";"Sin definir";"Pamplona-Vitoria, Km.38 0 ";"ARBIZU";"ARBIZU";"Pirineos";"Casera o regional";"16/03/1967 0:00:00"
"291";"UR001093";"Jakue";"Restaurantes";"Tercera/1 tenedor";"Irunbidea 34";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";;"24/07/2015 0:00:00"
"292";"ur000047";"Jiménez";"Restaurantes";"Sin definir";"Carretera de Campanas 0 S/N";"CAMPANAS";"TIEBAS-MURUARTE DE RETA";"Cuenca de Pamplona";;"26/12/1968 0:00:00"
"293";"ur000882";"Juanitorena";"Restaurantes";"Sin definir";"Fernando Urkia 9";"ARBIZU";"ARBIZU";"Pirineos";"Sidrería";"01/04/1982 0:00:00"
"294";"UR000990";"Kaixo";"Restaurantes";"Sin definir";"García Xímenez 20 22";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"29/03/2010 0:00:00"
"295";"ur000836";"Kalean Gora";"Restaurantes";"Sin definir";"Tajonar 29";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Sidrería";"26/09/1999 0:00:00"
"296";"UR000967";"Kaluxa";"Restaurantes";"Tercera/1 tenedor";"Kaluxa 3";"URDIAIN";"URDIAIN";"Pirineos";"Casera o regional";"06/03/2009 0:00:00"
"297";"UR000666";"Kampei";"Restaurantes";"Segunda/2 Tenedores";"Abejeras 26";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"11/12/1992 0:00:00"
"298";"UR000061";"Kasino";"Restaurantes";"Sin definir";"Vieja 23";"LESAKA";"LESAKA";"Pirineos";;"11/01/1967 0:00:00"
"299";"UR000989";"Kastonea";"Restaurantes";"Sin definir";"Herriko Plaza s/n 0";"ERRATZU";"BAZTAN";"Pirineos";"Asador";"18/03/2010 0:00:00"
"300";"UR000968";"Kattalin";"Restaurantes";"Sin definir";"Lapiztegia 6 31710";"ZUGARRAMURDI";"ZUGARRAMURDI";"Pirineos";"Casera o regional";"06/03/2009 0:00:00"
"301";"UR000195";"Katxetas";"Restaurantes";"Segunda/2 Tenedores";"Estudio Gramática 3 Bajo";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, Sidrería";"14/10/1981 0:00:00"
"302";"ur000147";"Kentucky Fried Chicken";"Restaurantes";"Sin definir";"C.C. Itaroa, local A31 0 ";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Rápida";"26/05/2005 0:00:00"
"303";"UR000694";"Kentucky Fried Chicken";"Restaurantes";"Tercera/1 tenedor";"Pío XII 37";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"01/12/1993 0:00:00"
"304";"ur000848";"Kixkia Sagardotegia";"Restaurantes";"Sin definir";"Urrutia 0 S/N";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA";"Pirineos";"Sidrería";"20/10/1999 0:00:00"
"305";"UR000286";"Koishta";"Restaurantes";"Sin definir";"Olite 35";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"22/07/1981 0:00:00"
"306";"ur000341";"Koska";"Restaurantes";"Sin definir";"San Salvador 3";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional";"03/03/1976 0:00:00"
"307";"UR001150";"Kotxera 13";"Restaurantes";"Tercera/1 tenedor";"San Francisco 0 s/n";"MUGIRO";"LARRAUN";"Pirineos";"Asador, Casera o regional, De tapas y raciones, Rápida, Vegetariana";"05/07/2023 0:00:00"
"308";"UR000806";"Kutximangi";"Restaurantes";"Tercera/1 tenedor";"Eugenio Mendioroz 0 S/N";"ARTAJONA";"ARTAJONA";"Zona Media";"Casera o regional";"12/03/1998 0:00:00"
"309";"ur000887";"L & Ele";"Restaurantes";"Sin definir";"Carnicerías 11";"TUDELA";"TUDELA";"La Ribera";"Casera o regional";"06/03/2006 0:00:00"
"310";"UR000417";"La Abuela";"Restaurantes";"Tercera/1 tenedor";"Cervantes 54";"CORTES";"CORTES";"La Ribera";"Casera o regional";"18/06/1985 0:00:00"
"311";"UR000203";"La Aljama";"Restaurantes";"Sin definir";"La Rua, nº 6 0 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"14/09/2004 0:00:00"
"312";"UR000903";"La Bodega del Camino";"Restaurantes";"Sin definir";"Mayor 21";"LORCA";"VALLE DE YERRI / DEIERRI";"Zona Media";"Casera o regional";"15/09/2006 0:00:00"
"313";"UR000942";"La Borda";"Restaurantes";"Sin definir";"San Nicolás 32";"AURITZ/BURGUETE";"AURITZ / BURGUETE";"Pirineos";"Casera o regional";"28/03/2008 0:00:00"
"314";"UR000883";"La Cabaña";"Restaurantes";"Sin definir";"San José 11";"CORELLA";"CORELLA";"La Ribera";"Casera o regional";"19/05/1982 0:00:00"
"315";"ur000567";"La Cadena";"Restaurantes";"Sin definir";"La Cadena 28";"LERÍN";"LERÍN";"La Ribera";"Casera o regional";"14/02/1990 0:00:00"
"316";"UR000488";"La Cañada";"Restaurantes";"Tercera/1 tenedor";"La Paz 32";"PERALTA";"PERALTA / AZKOIEN";"La Ribera";"Casera o regional";"11/06/1987 0:00:00"
"317";"ur000034";"La Cantina";"Restaurantes";"Sin definir";"Polígono Industrial de Cintrué 0";"CINTRUÉNIGO";"CINTRUÉNIGO";"La Ribera";"Casera o regional";"07/03/2001 0:00:00"
"318";"UR000734";"La Cantinetta";"Restaurantes";"Segunda/2 Tenedores";"Vuelta del Castillo 9";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"28/12/1995 0:00:00"
"319";"UR000629";"La Casona";"Restaurantes";"Sin definir";"Pueblo Viejo 0 S/N";"BARAÑÁIN";"BARAÑÁIN / BARAÑAIN";"Cuenca de Pamplona";"Asador";"14/09/1990 0:00:00"
"320";"UR000002";"La Cepa";"Restaurantes";"Segunda/2 Tenedores";"de los Fueros, 15-1º 0 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Asador";"26/06/2002 0:00:00"
"321";"UR000238";"La Conrada";"Restaurantes";"Segunda/2 Tenedores";"de los Fueros 17";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";"Casera o regional";"22/07/1981 0:00:00"
"322";"UR000940";"La Estación";"Restaurantes";"Segunda/2 Tenedores";"Guipúzcoa, km. 5,5 0 ";"AIZOÁIN";"BERRIOPLANO / BERRIOBEITI";"Cuenca de Pamplona";"Casera o regional";"12/03/2008 0:00:00"
"323";"ur000208";"La Estrella";"Restaurantes";"Sin definir";"Cruce Belzunce 0";"GARCIRIÁIN";"JUSLAPEÑA / TXULAPAIN";"Cuenca de Pamplona";"Casera o regional";"07/10/2004 0:00:00"
"324";"UR000909";"La Fiterana";"Restaurantes";"Tercera/1 tenedor";"Lejalde 27";"FITERO";"FITERO";"La Ribera";"Casera o regional";"10/11/2006 0:00:00"
"325";"UR000915";"La Fonda";"Restaurantes";"Sin definir";"Bayona 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"12/02/2007 0:00:00"
"326";"UR000872";"La Fonda de Tito";"Restaurantes";"Segunda/2 Tenedores";"Mayor 50";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";"Casera o regional";"14/09/2005 0:00:00"
"327";"UR001005";"La Hacienda";"Restaurantes";"Segunda/2 Tenedores";"Camino Labiano 47";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"09/05/2011 0:00:00"
"328";"UR000896";"La Mafia se sienta a la mesa";"Restaurantes";"Sin definir";"Leyre 7";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"26/05/2006 0:00:00"
"329";"UR001046";"La Mandarra de la Ramos";"Restaurantes";"Segunda/2 Tenedores";"San Nicolás 9 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones";"01/08/2013 0:00:00"
"330";"UR000992";"La Mar Salada";"Restaurantes";"Sin definir";"Leyre 12 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Innovadora";"04/05/2010 0:00:00"
"331";"UR001054";"La Morea";"Restaurantes";"Primera/3 tenedores";"X 1";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Casera o regional";"06/05/2014 0:00:00"
"332";"UR111000";"La Muralla";"Restaurantes";"Sin definir";"Rua Mayor 31";"OLITE";"OLITE / ERRIBERRI";"Zona Media";;"01/03/2011 0:00:00"
