"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1425";"UAT00642";"Ketebi";"Apartamento Turístico";"Tercera/1 Llave";"Avda, Guipuzcoa 28 4º Dcha";"BERRIOZAR";"BERRIOZAR ";"Cuenca de Pamplona";"6";"05/10/2017 0:00:00"
"1426";"UCR00401";"Kisuskillenekoa";"Casa rural vivienda";"CRV 2 Estrellas";"San Juan  99 ";"MUNÁRRIZ";"GOÑI  ";"Cuenca de Pamplona";"13";"20/05/1998 0:00:00"
"1427";"UCR00167";"Kordoa";"Casa rural habitaciones";"CRH 3 Estrellas";"Casa rural Kordoa 0 ";"ERRATZU";"BAZTAN  ";"Pirineos";"12";"15/07/1992 0:00:00"
"1428";"UAB00040";"Kortarixar";"Albergue turístico";"2ª Categoria";"Izarpea Beroeta 0 ";"ELIZONDO";"BAZTAN  ";"Pirineos";"46";"23/10/2009 0:00:00"
"1429";"UATR0150";"Kostarzua I, II y III";"Apartamento Turístico";"Primera/3 Llaves";"Ordoki 0 ";"ARIZKUN";"BAZTAN  ";"Pirineos";"14";"18/09/2009 0:00:00"
"1430";"UVTR0314";"Kottola";"Vivienda Turística Rural";"Primera/3 Llaves";"María Azpilkueta 4 ";"ELIZONDO";"BAZTAN  ";"Pirineos";"8";"10/06/2014 0:00:00"
"1431";"UHR00810";"Kuko";"Hotel rural";"2 Estrellas";"Larrapil 6 ";"ORONOZ-MUGAIRI";"BAZTAN  ";"Pirineos";"10";"25/05/2007 0:00:00"
"1432";"UCR01162";"Kutxatera II";"Casa rural vivienda";"CRV 2 Estrellas";"Iriburia 42 ";"GARDE";"GARDE ";"Pirineos";"5";"11/03/2020 0:00:00"
"1433";"UAT01499";"L&D";"Apartamento Turístico";"Segunda/2 Llaves";"Carnicerías 3 2º";"TUDELA";"TUDELA  ";"La Ribera";"2";"27/07/2023 0:00:00"
"1434";"UAB00030";"La Alberca";"Albergue turístico";"1ª Categoria";"Paraje La Alberca 0 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"24";"01/06/2007 0:00:00"
"1435";"UAT00140";"La Alcoholera";"Apartamento Turístico";"Segunda/2 Llaves";"San Isidro 3 ";"VALTIERRA";"VALTIERRA ";"La Ribera";"8";"12/06/2009 0:00:00"
"1436";"UVTR0461";"La Aldaia de Urbasa";"Vivienda Turística Rural";"Primera/3 Llaves";"Gonea 13 ";"EULATE";"EULATE  ";"Pirineos";"8";"19/05/2016 0:00:00"
"1437";"UHR00816";"La Antigua Azucarera";"Hotel rural";"2 Estrellas";"de la Azucarera 2 ";"MARCILLA";"MARCILLA  ";"La Ribera";"8";"21/12/2007 0:00:00"
"1438";"UPE00951";"La Atalaya";"Pensión";"P**";"Rua San Francisco 9 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"19";"05/02/2020 0:00:00"
"1439";"UATR1222";"La Atalaya";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Rua San Francisco 7 2º";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"10";"09/03/2022 0:00:00"
"1440";"UCR00603";"La Bardena Blanca I";"Casa rural habitaciones";"CRH 2 Estrellas";"San Francisco Javier 11 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"10";"28/05/2003 0:00:00"
"1441";"UCR01032";"La Bardena Blanca II";"Casa rural vivienda";"CRV 3 Estrellas";"La Cruz 3 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"8";"25/03/2014 0:00:00"
"1442";"UVTR1391";"La Bardenera Negra";"Vivienda Turística Rural";"Primera/3 Llaves";"Virgen de la Peña 44 ";"FUSTIÑANA";"FUSTIÑANA ";"La Ribera";"8";"17/02/2023 0:00:00"
