"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1";"UHSR0972";"18 de Abril";"Hostal";"HsRural";"Rúa Mirapiés 11 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"16";"07/06/2022 0:00:00"
"2";"UAT01423";"20 Pasos";"Apartamento Turístico";"Primera/3 Llaves";"Muro 5 1ºC";"TUDELA";"TUDELA  ";"La Ribera";"2";"11/05/2023 0:00:00"
"3";"UAT00859";"4U  Tudela Catedral 2B";"Apartamento Turístico";"Tercera/1 Llave";"Portal  18 2ºB";"TUDELA";"TUDELA  ";"La Ribera";"6";"21/11/2018 0:00:00"
"4";"UAT00860";"4U Tudela Catedral 1 B";"Apartamento Turístico";"Primera/3 Llaves";"Portal  18 1º B ";"TUDELA";"TUDELA  ";"La Ribera";"3";"21/11/2018 0:00:00"
"5";"UAT00858";"4U Tudela Catedral 2A";"Apartamento Turístico";"Tercera/1 Llave";"Portal 18 2ºA";"TUDELA";"TUDELA  ";"La Ribera";"4";"21/11/2018 0:00:00"
"6";"UAT00857";"4U Tudela Catedral 3A";"Apartamento Turístico";"Primera/3 Llaves";"Portal  18 3ºA";"TUDELA";"TUDELA  ";"La Ribera";"4";"21/11/2018 0:00:00"
"7";"UAT00877";"4U Tudela Centro 2B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"8";"UAT00876";"4U Tudela Centro 3B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"9";"UAT00879";"4U Tudela Centro 5A";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"4";"23/04/2019 0:00:00"
"10";"UAT00878";"4UTudela Centro 4B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"11";"UCR01107";"643 Km";"Casa rural habitaciones";"CRH 1 Estrella";"Rebote 3 ";"VILLATUERTA";"VILLATUERTA ";"Zona Media";"9";"27/07/2017 0:00:00"
"12";"UAT00659";"A City Beauty";"Apartamento Turístico";"Segunda/2 Llaves";"Nueva 27 2º";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"4";"28/09/2017 0:00:00"
"13";"UAT00973";"A dos pasos del Hospital";"Apartamento Turístico";"Segunda/2 Llaves";"Rafael Alberti 1 5º C";"BARAÑÁIN";"BARAÑÁIN / BARAÑAIN ";"Cuenca de Pamplona";"2";"12/11/2019 0:00:00"
"14";"UH000678";"A Pamplona";"Hotel";"2 Estrellas";"Sancho Ramirez 15 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"24";"19/02/1997 0:00:00"
"15";"UCR00781";"Abad Etxe";"Casa rural vivienda";"CRV 2 Estrellas";"Mayor 21  ";"ORÍSOAIN";"ORÍSOAIN  ";"Zona Media";"8";"07/03/2007 0:00:00"
"16";"UAT01360";"Abadía M";"Apartamento Turístico";"Segunda/2 Llaves";"Abadía 7 1º";"CORELLA";"CORELLA ";"La Ribera";"3";"03/12/2022 0:00:00"
"17";"UAT01361";"Abadía T";"Apartamento Turístico";"Segunda/2 Llaves";"Abadía 7 bajo A";"CORELLA";"CORELLA ";"La Ribera";"2";"03/12/2022 0:00:00"
"18";"UATR0198";"Abarra I";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"4";"08/02/2011 0:00:00"
"19";"UATR0198(BIS)";"Abarra II";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"08/02/2011 0:00:00"
"20";"UATR0198(BIS I)";"Abarra III";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"08/02/2011 0:00:00"
"21";"UATR0198(BISII)";"Abarra IV";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"12/02/2013 0:00:00"
"22";"UAB00082";"Abarun";"Albergue turístico";"2ª Categoria";"Aurtitz Calle Baja 18 Aurtizko Ostatu";"ITUREN";"ITUREN  ";"Pirineos";"39";"17/07/2014 0:00:00"
"23";"UATR0313";"Abodi";"Apartamento Turístico Rural";"Segunda/2 Llaves";"San José 6 1º Izda";"IZALZU";"IZALZU / ITZALTZU ";"Pirineos";"4";"10/06/2014 0:00:00"
"24";"UHS00856";"Abodi II";"Hostal";"HsG";"Sancho Ramírez 31 Esc. Dcha 1ºC";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"8";"08/02/2010 0:00:00"
"25";"UAT01001";"Ábside de San Juan I";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 1º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"5";"25/02/2020 0:00:00"
"26";"UAT01002";"Ábside de San Juan II";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 2º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"5";"25/02/2020 0:00:00"
"27";"UAT01003";"Ábside de San Juan III";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 3º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"3";"25/02/2020 0:00:00"
"28";"UAT01032";"Abuela Pilar";"Apartamento Turístico";"Segunda/2 Llaves";"Pablo Rada 14 bajo";"CAPARROSO";"CAPARROSO ";"La Ribera";"3";"18/06/2020 0:00:00"
"29";"UH000503";"AC Ciudad de Pamplona";"Hotel";"4 Estrellas";"Iturrama 21 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"178";"30/12/1978 0:00:00"
"30";"uh000737";"AC Ciudad de Tudela";"Hotel";"4 Estrellas";"Misericordia, s/n 0 ";"TUDELA";"TUDELA  ";"La Ribera";"84";"21/11/2001 0:00:00"
"31";"UAB00099";"Acá y Allá";"Albergue turístico";"del Camino de Santiago";"San Miguel 18 ";"URDAITZ/URDÁNIZ";"ESTERIBAR ";"Pirineos";"10";"09/04/2015 0:00:00"
"32";"UAT01196";"Acá y Allá";"Apartamento Turístico";"Primera/3 Llaves";"Alfonso el Batallador 2 1ºA";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"7";"10/12/2021 0:00:00"
"33";"UCT00021";"Acedo";"Camping";"4 estrellas";"Acedo-Los Arcos s/n 0 ";"ACEDO";"MENDAZA ";"Zona Media";"1400";"03/07/1996 0:00:00"
"34";"UAT00164";"Acedo";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Carretera 20 ";"ACEDO";"MENDAZA ";"Zona Media";"4";"17/02/2010 0:00:00"
"35";"UHS00758";"Acella 4";"Hostal";"HsG";"Pintor Paret 2 2º E";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"16";"07/05/2003 0:00:00"
"36";"UPE00655";"Acella II";"Pensión";"P**";"Acella 3 6º A";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"7";"17/01/1996 0:00:00"
"37";"UPE00698";"Acella III";"Pensión";"P*";"Acella 3 6º B";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"25/11/1998 0:00:00"
"38";"ucr00657";"Aciri";"Casa rural habitaciones";"CRH 2 Estrellas";"Sor Josefa Barber 14 ";"EZCÁROZ";"EZCÁROZ / EZKAROZE  ";"Pirineos";"4";"17/08/2004 0:00:00"
"39";"UCR00814";"Aciri II";"Casa rural vivienda";"CRV 1 Estrella";"Valencia s/n 0 ";"EZCÁROZ";"EZCÁROZ / EZKAROZE  ";"Pirineos";"2";"13/08/2007 0:00:00"
"40";"UCR00647";"Adi";"Casa rural vivienda";"CRV 2 Estrellas";"San Pedro 21 ";"BIZKARRETA-GERENDIAIN";"ERRO  ";"Pirineos";"6";"10/06/2004 0:00:00"
"41";"UCR01086";"Adipe";"Casa rural vivienda";"CRV 1 Estrella";"San Bartolone 5 ";"ZILBETI";"ERRO  ";"Pirineos";"10";"22/03/2017 0:00:00"
"42";"UCR00769";"Agerrebereko Borda I";"Casa rural vivienda";"CRV 2 Estrellas";"Lurriztiederra 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"6";"15/12/2006 0:00:00"
"43";"UCR00770";"Agerrebereko Borda II";"Casa rural vivienda";"CRV 2 Estrellas";"Lurriztiederra 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"6";"15/12/2006 0:00:00"
"44";"UAB00117";"Ágora Hostel";"Albergue turístico";"2ª del Camino de Santiago";"Callizo Pelaires 3 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"29";"24/04/2017 0:00:00"
"45";"UH000786";"Agorreta";"Hotel";"3 Estrellas";"Ziriota 3 ";"SALINAS DE PAMPLONA";"GALAR ";"Cuenca de Pamplona";"47";"20/09/2005 0:00:00"
"46";"UATR1144";"Agotxenea";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Mayor 21 Casa Agotxenea";"AMAIUR/MAYA";"BAZTAN  ";"Pirineos";"2";"28/06/2021 0:00:00"
"47";"UAB00128";"Agotzenea";"Albergue turístico";"2ª Categoria";"Zubiri Usetxi Km. 1 0 ";"ZUBIRI";"ESTERIBAR ";"Pirineos";"32";"25/06/2020 0:00:00"
"48";"UATR0228(CEREAL)";"Agrovillaujue Cereal";"Apartamento Turístico Rural";"Primera/3 Llaves";"San Isidro 32 planta baja";"UJUÉ";"UJUÉ / UXUE ";"Zona Media";"2";"26/04/2012 0:00:00"
"49";"UATR0228(OLIVO)";"Agrovillaujue Olivo";"Apartamento Turístico Rural";"Segunda/2 Llaves";"San Isidro 32 planta primera";"UJUÉ";"UJUÉ / UXUE ";"Zona Media";"4";"26/04/2012 0:00:00"
"50";"UATR0228(VID)";"Agrovillaujue Vid";"Apartamento Turístico Rural";"Segunda/2 Llaves";"San Isidro 32 planta primera";"UJUÉ";"UJUÉ / UXUE ";"Zona Media";"4";"26/04/2012 0:00:00"
"51";"UATR1288";"Aguilares";"Apartamento Turístico Rural";"Primera/3 Llaves";"Real 88 bajo izda";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"2";"30/05/2022 0:00:00"
"52";"UPE00327";"Aguirre";"Pensión";"P*";"Irun km.8 0 ";"ORICÁIN";"EZCABARTE ";"Cuenca de Pamplona";"23";"30/06/1964 0:00:00"
"53";"UCR01182";"Aguirre";"Casa rural vivienda";"CRV 3 Estrellas";"Etxarri 0 s/n";"ELIZONDO";"BAZTAN  ";"Pirineos";"8";"31/08/2021 0:00:00"
"54";"UCR00500";"Aialusa";"Casa rural habitaciones";"CRH 2 Estrellas";"La Fuente 47 ";"BAQUEDANO";"AMÉSCOA BAJA  ";"Pirineos";"10";"30/11/2000 0:00:00"
"55";"UATR0092";"Aiestaenea I";"Apartamento Turístico";"Segunda/2 Llaves";"Barricata 53 ";"ISABA";"ISABA / IZABA ";"Pirineos";"4";"10/12/2007 0:00:00"
"56";"UATR0217";"Aiestaenea II";"Apartamento Turístico Rural";"Tercera/1 Llave";"Barricata 53 ";"ISABA";"ISABA / IZABA ";"Pirineos";"5";"10/11/2011 0:00:00"
"57";"UATR0092BIS";"Aiestaenea III";"Apartamento Turístico";"Segunda/2 Llaves";"Barricata 53 ";"ISABA";"ISABA / IZABA ";"Pirineos";"2";"10/12/2007 0:00:00"
"58";"UVTR1422";"Ainariak";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Nueva-Karrika Berria 37 bajo";"BURGUI";"BURGUI / BURGI  ";"Pirineos";"8";"27/04/2023 0:00:00"
"59";"UH000841";"Aire de Bardenas";"Hotel";"4 Estrellas";"Ejea, Km 1,5 0 ";"TUDELA";"TUDELA  ";"La Ribera";"43";"20/10/2008 0:00:00"
"60";"UCR00327";"Aisko";"Casa rural habitaciones";"CRH 1 Estrella";"Urrutia 8 ";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA ";"Pirineos";"8";"26/06/1996 0:00:00"
"61";"UAT00354";"Aitaldekoa";"Apartamento Turístico";"Primera/3 Llaves";"Pedro Bidagor 1 8º C";"BARAÑÁIN";"BARAÑÁIN / BARAÑAIN ";"Cuenca de Pamplona";"4";"16/12/2014 0:00:00"
"62";"UAT00128";"Aitonarena-Irati";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Barrrio de Iribarren 8 ";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA ";"Pirineos";"5";"20/04/2009 0:00:00"
"63";"UCR00952";"Aizalegia";"Casa rural vivienda";"CRV 2 Estrellas";"Piedadeko Auzoa 16 ";"IGANTZI";"IGANTZI ";"Pirineos";"6";"24/03/2011 0:00:00"
"64";"UCR01164";"Aizkolarienea";"Casa rural vivienda";"CRV 2 Estrellas";"Iribarren 1 ";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA ";"Pirineos";"6";"03/06/2020 0:00:00"
"65";"UH000777";"Akerreta";"Hotel";"2 Estrellas";"Transfiguración 11 ";"AKERRETA";"ESTERIBAR ";"Pirineos";"20";"21/09/2004 0:00:00"
"66";"UATR0145";"AlaiSuberri";"Apartamento Turístico Rural";"Tercera/1 Llave";"Mayor 15 ";"ORONZ";"ORONZ / ORONTZE ";"Pirineos";"2";"18/08/2009 0:00:00"
"67";"UHSR0644";"Alaitze";"Hostal";"HsRural";"San Salvador 52 ";"HIRIBERRI/VILLANUEVA DE AEZKOA";"HIRIBERRI / VILLANUEVA DE AEZKOA  ";"Pirineos";"10";"02/11/1994 0:00:00"
"68";"UH000439";"Alaiz";"Hotel";"2 Estrellas";"Pamplona-Zaragoza km.9 0 ";"BERIÁIN";"BERIÁIN ";"Cuenca de Pamplona";"128";"05/08/1974 0:00:00"
"69";"UAB00028";"Albergue Bodega del Camino";"Albergue turístico";"2ª del Camino de Santiago";" Placeta 8 ";"LORCA";"VALLE DE YERRI / DEIERRI  ";"Zona Media";"36";"28/11/2006 0:00:00"
"70";"UAB00031";"Albergue Cirauqui Casa Maralotx";"Albergue turístico";"2ª Categoria";"Nagusia 4 ";"CIRAUQUI";"CIRAUQUI / ZIRAUKI  ";"Zona Media";"32";"07/04/2008 0:00:00"
"71";"UAB00065";"Albergue de Cabanillas";"Albergue turístico";"2ª Categoria";"De las Granjas 7 ";"CABANILLAS";"CABANILLAS  ";"La Ribera";"60";"04/04/2013 0:00:00"
"72";"UAB00035";"Albergue de Lorca";"Albergue turístico";"2ª del Camino de Santiago";"Mayor 40 ";"LORCA";"VALLE DE YERRI / DEIERRI  ";"Zona Media";"14";"20/04/2009 0:00:00"
"73";"UAB00033";"Albergue de Luzaide/Valcarlos";"Albergue turístico";"2ª del Camino de Santiago";"Elizaldea 52 ";"LUZAIDE/VALCARLOS";"LUZAIDE / VALCARLOS ";"Pirineos";"24";"14/08/2008 0:00:00"
"74";"UAB00053";"Albergue de Monreal";"Albergue turístico";"del Camino de Santiago";"Santa Barbara 4 ";"MONREAL";"MONREAL / ELO ";"Pirineos";"21";"22/12/2010 0:00:00"
"75";"UAB00103";"Albergue de Pamplona-Iruñako Aterpea";"Albergue turístico";"del Camino de Santiago";"Carmen 18 Bajo";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"24";"07/05/2015 0:00:00"
"76";"UAB00062";"Albergue de Roncesvalles";"Albergue turístico";"del Camino de Santiago";"Francia 0 ";"ORREAGA/RONCESVALLES";"ORREGA / RONCESVALLES ";"Pirineos";"223";"05/12/2012 0:00:00"
"77";"UAB00049";"Albergue de Tiebas";"Albergue turístico";"del Camino de Santiago";"Mayor 18 ";"TIEBAS";"TIEBAS-MURUARTE DE RETA ";"Cuenca de Pamplona";"14";"23/07/2010 0:00:00"
"78";"UAB00047";"Albergue de Villava";"Albergue turístico";"1ª del Camino de Santiago";"Pedro de Atarrabia 15 ";"VILLAVA";"VILLAVA / ATARRABIA ";"Cuenca de Pamplona";"0";"28/04/2010 0:00:00"
"79";"UAB00068";"Albergue Municipal de Huarte";"Albergue turístico";"del Camino de Santiago";"San Juan 5 ";"HUARTE";"HUARTE / UHARTE ";"Cuenca de Pamplona";"60";"23/05/2013 0:00:00"
"80";"UAB00134";"Albergue Municipal de Ribaforada";"Albergue turístico";"2ª Categoria";"Carlos III el Noble 16 ";"RIBAFORADA";"RIBAFORADA  ";"La Ribera";"30";"27/05/2022 0:00:00"
"81";"UAB00070";"Albergue Municipal de Zubiri";"Albergue turístico";"del Camino de Santiago";"Roncesvalles 0 ";"ZUBIRI";"ESTERIBAR ";"Pirineos";"44";"05/06/2013 0:00:00"
"82";"UAB00106";"Albergue Plaza Catedral";"Albergue turístico";"del Camino de Santiago";"Navarreria 35 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"42";"10/06/2015 0:00:00"
"83";"UAB00063";"Albergue Turístico de Arre";"Albergue turístico";"del Camino de Santiago";"Puente del Peregrino 2 ";"ARRE";"EZCABARTE ";"Cuenca de Pamplona";"34";"04/03/2013 0:00:00"
"84";"UCR00913";"Alberroakoborda";"Casa rural vivienda";"CRV 2 Estrellas";"Casa Alberroakoborda 0 ";"ITUREN";"ITUREN  ";"Pirineos";"8";"09/12/2009 0:00:00"
"85";"UPE00973";"Albillo 1";"Pensión";"P**";"Albillo 2 1º";"TUDELA";"TUDELA  ";"La Ribera";"2";"01/07/2022 0:00:00"
"86";"UCR00942";"Albirena";"Casa rural vivienda";"CRV 4 Estrellas";"La Asunción 18 ";"ARRAITZ-ORKIN";"ULTZAMA ";"Pirineos";"14";"10/09/2010 0:00:00"
"87";"UH000652";"Albret";"Hotel";"4 Estrellas";"Ermitagaña 3 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"212";"20/12/1995 0:00:00"
"88";"UH000790";"Alda Castillo de Olite";"Hotel";"4 Estrellas";"Rua de Medios 23 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"48";"07/12/2005 0:00:00"
"89";"UH000352";"Alda Centro Pamplona";"Hotel";"2 Estrellas";"Virgen de la O 7 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"42";"25/10/1966 0:00:00"
"90";"UAB00122";"Alda Estella Hostel";"Albergue turístico";"2ª Categoria";"Santiago 41 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"99";"22/08/2018 0:00:00"
"91";"ucr00615";"Aldabeko Borda";"Casa rural vivienda";"CRV 3 Estrellas";"Lurriztiederra 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"4";"24/09/2003 0:00:00"
"92";"ucr00319";"Aldalurberea";"Casa rural vivienda";"CRV 2 Estrellas";"Andutzeta 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"8";"03/04/1996 0:00:00"
"93";"UCR00903";"Aldapa Etxea";"Casa rural vivienda";"CRV 3 Estrellas";"Santo Tomás, s/n 0 ";"SARRIÉS";"SARRIÉS / SARTZE  ";"Pirineos";"4";"18/08/2009 0:00:00"
"94";"UATR1329";"Aldatsea";"Apartamento Turístico";"Primera/3 Llaves";"Lakain-Apezborro 1 ";"ETXALAR";"ETXALAR ";"Pirineos";"4";"20/06/2022 0:00:00"
"95";"UCR01010";"Aldekoa";"Casa rural habitaciones";"CRH 3 Estrellas";"Karrika Nagusia 10 ";"ZIGA";"BAZTAN  ";"Pirineos";"14";"23/05/2013 0:00:00"
"96";"UCR00486";"Aldekotxeberria";"Casa rural vivienda";"CRV 3 Estrellas";"Nagusia 13 ";"ZIGA";"BAZTAN  ";"Pirineos";"6";"02/08/2000 0:00:00"
"97";"UVTR1443";"Alegría";"Vivienda Turística Rural";"Lujo/4 Llaves";"Portacelai 3 ";"LARRASOAÑA";"ESTERIBAR ";"Pirineos";"6";"17/05/2023 0:00:00"
"98";"uh000613";"Alhama";"Hotel";"3 Estrellas";"N.113 Pamplona-Madrid 0 ";"CINTRUÉNIGO";"CINTRUÉNIGO ";"La Ribera";"64";"10/10/1990 0:00:00"
"99";"UCR00510";"Alicia I";"Casa rural vivienda";"CRV 2 Estrellas";"Caballeros de Jerusalen 58 ";"CABANILLAS";"CABANILLAS  ";"La Ribera";"8";"09/08/2006 0:00:00"
"100";"UCR00545";"Alicia II";"Casa rural vivienda";"CRV 1 Estrella";"Caballeros de Jerusalen 58 ";"CABANILLAS";"CABANILLAS  ";"La Ribera";"10";"30/01/2002 0:00:00"
"101";"UCR00565";"Alicia-enea";"Casa rural vivienda";"CRV 2 Estrellas";"Landas 5 ";"JAURRIETA";"JAURRIETA ";"Pirineos";"8";"04/09/2002 0:00:00"
"102";"UAT00671";"Alisol";"Apartamento Turístico";"Tercera/1 Llave";"San Gregorio  14 2º izda";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"2";"27/10/2017 0:00:00"
"103";"UCR00313";"Alkeberea";"Casa rural habitaciones";"CRH 2 Estrellas";"Garaitarreta Auzoa 11 ";"BERA";"BERA  ";"Pirineos";"16";"19/11/2007 0:00:00"
"104";"UATR0142";"Allurkos I y II";"Apartamento Turístico Rural";"Primera/3 Llaves";"Barrio Zabaleta 62 ";"UZTÁRROZ";"UZTÁRROZ / UZTARROZE  ";"Pirineos";"4";"20/07/2009 0:00:00"
"105";"UVT00904";"Alma Home";"Vivienda Turística";"Primera/3 Llaves";"Euntzemeharra 16 ";"ZIZUR MAYOR";"ZIZUR MAYOR / ZIZUR NAGUSIA ";"Cuenca de Pamplona";"10";"02/05/2019 0:00:00"
"106";"UH000880";"Alma Pamplona";"Hotel";"5 Estrellas";"Beloso Bajo 11 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"118";"25/01/2012 0:00:00"
"107";"UAT00386";"Aloha";"Apartamento Turístico";"Segunda/2 Llaves";"Del Castillo 49 4ºA";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"12/03/2015 0:00:00"
"108";"UAT00454";"Aloha  II";"Apartamento Turístico";"Segunda/2 Llaves";"Del Castillo 49 4C";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"5";"20/04/2016 0:00:00"
"109";"UAB00060";"Aloha Hostel";"Albergue turístico";"2ª Categoria";"Sangüesa 2 -1º";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"26";"13/09/2012 0:00:00"
"110";"UAT01373";"Alojamiento Turístico Urabain";"Apartamento Turístico";"Primera/3 Llaves";"de Estella 21 1º dcha";"ALLO";"ALLO  ";"Zona Media";"4";"10/01/2023 0:00:00"
"111";"UAT01275";"Alojamiento Txokoto-Aizkolegi";"Apartamento Turístico";"Segunda/2 Llaves";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"24/05/2022 0:00:00"
"112";"UAT01274";"Alojamiento Txokoto-Arrikulunka";"Apartamento Turístico";"Tercera/1 Llave";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"24/05/2022 0:00:00"
"113";"UAT01277";"Alojamiento Txokoto-Gartzaga";"Apartamento Turístico";"Tercera/1 Llave";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"24/05/2022 0:00:00"
"114";"UAT01272";"Alojamiento Txokoto-Gorramakil";"Apartamento Turístico";"Segunda/2 Llaves";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"25/05/2022 0:00:00"
"115";"UAT01276";"Alojamiento Txokoto-Irlintzi";"Apartamento Turístico";"Tercera/1 Llave";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"24/05/2022 0:00:00"
"116";"UAT01273";"Alojamiento Txokoto-Legate";"Apartamento Turístico";"Segunda/2 Llaves";"Braulio Iriarte 4 1ºA";"ELIZONDO";"BAZTAN  ";"Pirineos";"2";"25/05/2022 0:00:00"
"117";"UAT00544";"Alojamientos Olga";"Apartamento Turístico";"Tercera/1 Llave";"Avda. Pio XII 32 Bajo";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"16/03/2017 0:00:00"
"118";"UAT00562";"Alojamientos Olga 1";"Apartamento Turístico";"Tercera/1 Llave";"Acella  3 1C";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"31/05/2017 0:00:00"
"119";"UAT00563";"Alojamientos Olga 2";"Apartamento Turístico";"Segunda/2 Llaves";"Pio XII  34 2º 4º Izda";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"15/05/2017 0:00:00"
"120";"UAT00748";"Alojamientos Olga 4";"Apartamento Turístico";"Tercera/1 Llave";"Acella 5 3º D";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"21/01/2018 0:00:00"
"121";"UHS00824";"Alojamientos Pamplona";"Hostal";"HsG";"Sancho Ramírez 7 1ºB";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"11";"28/03/2008 0:00:00"
"122";"UAT00561";"Altalea";"Apartamento Turístico";"Segunda/2 Llaves";"Mercaderes  31 6º";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"2";"24/04/2017 0:00:00"
"123";"UAT01014";"Altikarra I";"Apartamento Turístico";"Segunda/2 Llaves";"Cañada de Santa Águeda 10 1º";"UNDIANO";"CIZUR ";"Cuenca de Pamplona";"10";"14/01/2020 0:00:00"
"124";"UAT00998";"Altikarra II";"Apartamento Turístico";"Tercera/1 Llave";"Cañada Santa Águeda 10 Bajo";"UNDIANO";"CIZUR ";"Cuenca de Pamplona";"4";"13/01/2020 0:00:00"
"125";"UAT00927";"Altos del Prado";"Apartamento Turístico";"Tercera/1 Llave";"Gladys 9 bajo E";"TUDELA";"TUDELA  ";"La Ribera";"4";"05/06/2019 0:00:00"
"126";"UATR1464";"Altxabi";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Irigoien 31 A";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA ";"Pirineos";"2";"19/06/2023 0:00:00"
"127";"UCR00906";"Altzaerreka";"Casa rural vivienda";"CRV 2 Estrellas";"Erratzu-Izpegi, km 3 0 ";"ERRATZU";"BAZTAN  ";"Pirineos";"8";"11/11/2009 0:00:00"
"128";"UAT00112";"Ama Dablam";"Apartamento Turístico";"Segunda/2 Llaves";"San Pedro 11 ";"UNANU";"ERGOIENA  ";"Pirineos";"6";"01/12/2009 0:00:00"
"129";"UCR00699";"Amaitanea";"Casa rural vivienda";"CRV 2 Estrellas";"Barrio Landibar 37 ";"URDAZUBI/URDAX";"URDAZUBI / URDAX  ";"Pirineos";"6";"30/05/2005 0:00:00"
"130";"UCR01094";"Amaiur";"Casa rural vivienda";"CRV 3 Estrellas";"Erreka 9 B";"LEITZA";"LEITZA  ";"Pirineos";"6";"07/12/2016 0:00:00"
"131";"UAT00460";"Amaiur 1";"Apartamento Turístico";"Segunda/2 Llaves";"Santiago 13 2B";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"2";"19/05/2016 0:00:00"
